,0,1,2,3,4,5,6,7,8,9,10,11
91,860,836,17,4444,27,2011-Q2,2,A07,A00,U,22,18
92,2335,1889,2901,2125,1131,2011-Q2,1,A02,A00,U,23,18
93,12558,11155,4461,5084,3011,2011-Q2,1,A07,A00,U,23,18
94,304,246,351,1341,123,2011-Q2,2,A02,A00,U,23,18
95,2541,2364,508,2783,320,2011-Q2,2,A07,A00,U,23,18
96,726,468,757,1712,801,2011-Q3,1,A02,A00,U,11,18
97,1288,1172,506,3720,413,2011-Q3,1,A07,A00,U,11,18
98,301,150,365,1250,414,2011-Q3,2,A02,A00,U,11,18
99,590,532,248,3106,170,2011-Q3,2,A07,A00,U,11,18
100,162,119,53,5274,52,2011-Q3,1,A02,A00,U,21,18
101,1093,1060,49,6428,44,2011-Q3,1,A07,A00,U,21,18
102,11,6,,1897,5,2011-Q3,2,A02,A00,U,21,18
103,108,103,7,3792,5,2011-Q3,2,A07,A00,U,21,18
104,128,61,21,3173,75,2011-Q3,1,A02,A00,U,22,18
105,3434,3347,34,7521,92,2011-Q3,1,A07,A00,U,22,18
106,49,18,7,1297,34,2011-Q3,2,A02,A00,U,22,18
107,902,884,21,4826,21,2011-Q3,2,A07,A00,U,22,18
108,3753,2288,2125,2306,2425,2011-Q3,1,A02,A00,U,23,18
109,14226,12532,3886,5301,3555,2011-Q3,1,A07,A00,U,23,18
110,486,254,227,1342,356,2011-Q3,2,A02,A00,U,23,18
111,2745,2551,379,2899,337,2011-Q3,2,A07,A00,U,23,18
112,620,420,191,1674,280,2011-Q4,1,A02,A00,U,11,18
113,1356,1099,253,4144,394,2011-Q4,1,A07,A00,U,11,18
114,221,114,74,1123,144,2011-Q4,2,A02,A00,U,11,18
115,640,494,85,2322,206,2011-Q4,2,A07,A00,U,11,18
116,143,124,40,4796,26,2011-Q4,1,A02,A00,U,21,18
117,1113,1078,51,6289,48,2011-Q4,1,A07,A00,U,21,18
118,6,4,3,2007,5,2011-Q4,2,A02,A00,U,21,18
119,115,109,9,4037,8,2011-Q4,2,A07,A00,U,21,18
120,66,60,9,2687,7,2011-Q4,1,A02,A00,U,22,18
121,3468,3418,44,7312,71,2011-Q4,1,A07,A00,U,22,18
122,18,15,,1022,3,2011-Q4,2,A02,A00,U,22,18
123,921,905,19,4977,22,2011-Q4,2,A07,A00,U,22,18
124,3163,2221,1292,2111,1485,2011-Q4,1,A02,A00,U,23,18
125,14798,12107,3006,5789,4299,2011-Q4,1,A07,A00,U,23,18
126,331,244,136,1289,150,2011-Q4,2,A02,A00,U,23,18
127,2796,2500,358,3143,458,2011-Q4,2,A07,A00,U,23,18
128,487,406,207,1485,136,2012-Q1,1,A02,A00,U,11,18
129,1186,1117,155,3765,96,2012-Q1,1,A07,A00,U,11,18
130,140,115,79,1134,40,2012-Q1,2,A02,A00,U,11,18
131,495,458,76,2322,49,2012-Q1,2,A07,A00,U,11,18
132,132,118,44,4780,25,2012-Q1,1,A02,A00,U,21,18
133,1085,1045,34,6461,48,2012-Q1,1,A07,A00,U,21,18
134,4,4,,1789,0,2012-Q1,2,A02,A00,U,21,18
135,115,112,,3739,4,2012-Q1,2,A07,A00,U,21,18
136,60,57,23,2871,5,2012-Q1,1,A02,A00,U,22,18
137,3477,3342,96,9116,204,2012-Q1,1,A07,A00,U,22,18
138,15,14,7,1329,3,2012-Q1,2,A02,A00,U,22,18
139,922,886,31,5563,57,2012-Q1,2,A07,A00,U,22,18
140,2659,2134,1058,1830,852,2012-Q1,1,A02,A00,U,23,18
141,13131,11703,2253,5185,2224,2012-Q1,1,A07,A00,U,23,18
142,280,223,134,1068,98,2012-Q1,2,A02,A00,U,23,18
143,2586,2414,265,2737,247,2012-Q1,2,A07,A00,U,23,18
144,584,464,505,1736,266,2012-Q2,1,A02,A00,U,11,18
145,1347,1242,292,3670,176,2012-Q2,1,A07,A00,U,11,18
146,190,141,244,1303,100,2012-Q2,2,A02,A00,U,11,18
147,586,512,154,2302,139,2012-Q2,2,A07,A00,U,11,18
148,140,127,64,4757,21,2012-Q2,1,A02,A00,U,21,18
149,1147,1103,52,5812,53,2012-Q2,1,A07,A00,U,21,18
150,5,3,7,1954,5,2012-Q2,2,A02,A00,U,21,18
151,116,113,12,3678,4,2012-Q2,2,A07,A00,U,21,18
152,69,61,84,2602,10,2012-Q2,1,A02,A00,U,22,18
153,3492,3371,64,7144,152,2012-Q2,1,A07,A00,U,22,18
154,15,11,32,1522,5,2012-Q2,2,A02,A00,U,22,18
155,935,907,19,4674,32,2012-Q2,2,A07,A00,U,22,18
156,2768,2223,2819,2200,1266,2012-Q2,1,A02,A00,U,23,18
157,14308,12669,4147,5270,3112,2012-Q2,1,A07,A00,U,23,18
158,319,255,373,1253,143,2012-Q2,2,A02,A00,U,23,18
159,2786,2600,434,2872,311,2012-Q2,2,A07,A00,U,23,18
160,840,493,660,1661,811,2012-Q3,1,A02,A00,U,11,18
161,1483,1342,513,3916,446,2012-Q3,1,A07,A00,U,11,18
162,349,157,338,1295,445,2012-Q3,2,A02,A00,U,11,18
163,598,533,256,2717,191,2012-Q3,2,A07,A00,U,11,18
164,166,126,28,4608,47,2012-Q3,1,A02,A00,U,21,18
165,1143,1109,27,6240,43,2012-Q3,1,A07,A00,U,21,18
166,7,4,4,1204,5,2012-Q3,2,A02,A00,U,21,18
167,123,116,5,3662,10,2012-Q3,2,A07,A00,U,21,18
168,130,70,29,3099,63,2012-Q3,1,A02,A00,U,22,18
169,3492,3401,61,7517,107,2012-Q3,1,A07,A00,U,22,18
170,40,14,4,1268,27,2012-Q3,2,A02,A00,U,22,18
171,956,930,15,4697,27,2012-Q3,2,A07,A00,U,22,18
172,4019,2486,1708,2198,2231,2012-Q3,1,A02,A00,U,23,18
173,15509,13499,3478,5279,3578,2012-Q3,1,A07,A00,U,23,18
174,494,273,167,1387,297,2012-Q3,2,A02,A00,U,23,18
175,2922,2714,316,2930,319,2012-Q3,2,A07,A00,U,23,18
176,633,420,160,1712,290,2012-Q4,1,A02,A00,U,11,18
